Mã CK,Tên công ty,Sàn,Nhóm ngành,Năm,CPI,"GDP
(tỷ đồng)","I. Tiền mặt, vàng bạc, đá quý",VI. Cho vay khách hàng,TỔNG CỘNG TÀI SẢN,II. Tiền gửi và vay các TCTD khác,III. Tiền gửi của khách hàng,TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,I. Thu nhập lãi thuần (1-2),6. Chi phí hoạt động khác,VIII. Chi phí hoạt động,XIII. Lợi nhuận sau thuế (XI-XII),"Nợ 
Nhóm 3","Nợ 
Nhóm 4","Nợ 
Nhóm 5",Time,INF
ACB,Ngân hàng TMCP Á Châu,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,6.96792E+12,3.08529E+14,4.4453E+14,2.38752E+13,3.53196E+14,4.09082E+14,3.54482E+13,1.45821E+13,2.15809E+11,7.62427E+12,7.68282E+12,2.12494E+11,4.11284E+11,1.21661E+12,2020,3.220934367
BAB,Ngân hàng TMCP Bắc Á,HNX,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,6.38946E+11,7.86186E+13,1.17189E+14,1.3232E+13,8.64422E+13,1.08826E+14,8.36358E+12,2.03107E+12,16437000000,1.24039E+12,5.87794E+11,23123000000,2.71073E+11,3.33804E+11,2020,3.220934367
BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,1.58454E+11,2.26527E+13,5.91875E+13,1.64635E+13,3.37411E+13,5.558E+13,3.60746E+12,5.23591E+11,17121604652,6.05377E+11,57044266651,1.3888E+11,3.95966E+11,1.1259E+12,2020,3.220934367
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,1.22942E+13,1.19524E+15,1.51669E+15,8.22608E+13,1.22667E+15,1.43704E+15,7.96466E+13,3.57968E+13,2.90022E+12,1.7693E+13,7.22357E+12,2.38214E+12,2.46223E+12,1.65251E+13,2020,3.220934367
CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,9.93018E+12,1.00277E+15,1.34144E+15,1.28519E+14,9.90331E+14,1.25603E+15,8.54113E+13,3.55808E+13,7.85226E+11,1.60853E+13,1.37572E+13,1.85724E+12,1.61159E+12,6.05027E+12,2020,3.220934367
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,2.07313E+12,9.94876E+13,1.60435E+14,6.32036E+12,1.33918E+14,1.43616E+14,1.68195E+13,3.31374E+12,39703000000,2.43868E+12,1.07018E+12,1.59488E+11,4.79162E+11,1.89581E+12,2020,3.220934367
HDB,Ngân hàng TMCP Phát triển TP. HCM,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,2.25726E+12,1.76388E+14,3.19127E+14,7.51756E+13,1.7462E+14,2.94423E+14,2.4704E+13,1.18977E+13,1.1125E+11,6.17283E+12,4.6471E+12,8.15E+11,8.03467E+11,7.38881E+11,2020,3.220934367
LPB,Ngân hàng TMCP Bưu điện Liên Việt,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,3.49927E+12,1.74356E+14,2.42343E+14,1.47451E+13,1.74526E+14,2.28111E+14,1.42317E+13,6.72017E+12,66676000000,4.64515E+12,1.86191E+12,4.04729E+11,3.56353E+11,1.76627E+12,2020,3.220934367
MBB,Ngân hàng TMCP Quân Đội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,3.10923E+12,2.93943E+14,4.94982E+14,5.08765E+13,3.1096E+14,4.44883E+14,5.00995E+13,2.02778E+13,1.12928E+12,1.05555E+13,8.60604E+12,8.89758E+11,9.73564E+11,1.38448E+12,2020,3.220934367
MSB,Ngân hàng TMCP Hàng hải Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,2.20464E+12,7.84976E+13,1.76698E+14,5.60257E+13,8.75102E+13,1.59823E+14,1.68748E+13,4.82239E+12,2.05094E+11,3.58592E+12,2.01114E+12,2.95721E+11,3.94154E+11,8.67771E+11,2020,3.220934367
NVB,Ngân hàng TMCP Quốc Dân,HNX,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,2.97561E+11,3.9855E+13,8.96012E+13,9.02717E+12,7.20848E+13,8.53384E+13,4.26282E+12,1.43374E+12,1.16098E+11,8.02677E+11,1212000000,55841000000,87573000000,4.65418E+11,2020,3.220934367
OCB,Ngân hàng TMCP Phương Đông,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,9.32451E+11,8.83005E+13,1.52529E+14,2.28377E+13,8.71714E+13,1.35093E+14,1.74354E+13,4.98171E+12,1.12734E+11,2.33012E+12,3.53477E+12,4.88697E+11,3.22577E+11,6.97195E+11,2020,3.220934367
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,1.61993E+12,3.02199E+14,4.1268E+14,3.89624E+13,3.03582E+14,3.88643E+14,2.40362E+13,9.9332E+12,1.04117E+11,4.29919E+12,2.60701E+12,7.04066E+11,1.09291E+12,3.80181E+12,2020,3.220934367
SSB,Ngân hàng TMCP Đông Nam Á,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,1.01223E+12,1.07761E+14,1.80207E+14,4.25167E+13,1.13277E+14,1.66537E+14,1.36704E+13,3.06172E+12,4.04105E+11,2.17738E+12,1.36047E+12,3.06776E+11,3.80914E+11,1.33478E+12,2020,3.220934367
STB,Ngân hàng TMCP Sài Gòn Thương Tín,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,7.67855E+12,3.34855E+14,4.92516E+14,7.88001E+12,4.27972E+14,4.6356E+14,2.89562E+13,1.15266E+13,57491000000,1.08946E+13,2.68198E+12,2.77382E+11,9.58159E+11,4.54472E+12,2020,3.220934367
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,3.66362E+12,2.7531E+14,4.39603E+14,4.74848E+13,2.77459E+14,3.64988E+14,7.46148E+13,1.87512E+13,3.1808E+12,8.6312E+12,1.25825E+13,4.16892E+11,5.33944E+11,3.44356E+11,2020,3.220934367
TPB,Ngân hàng TMCP Tiên Phong,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,2.21427E+12,1.18085E+14,2.06315E+14,4.088E+13,1.15904E+14,1.8957E+14,1.67444E+13,7.61906E+12,4.02355E+11,4.19729E+12,3.51019E+12,6.61225E+11,3.30799E+11,4.28425E+11,2020,3.220934367
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,1.50954E+13,8.20545E+14,1.32623E+15,1.03584E+14,1.03211E+15,1.23214E+15,9.4095E+13,3.62855E+13,7.44461E+11,1.60383E+13,1.84725E+13,6.6869E+11,2.23292E+11,4.33759E+12,2020,3.220934367
VIB,Ngân hàng TMCP Quốc tế Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,1.42199E+12,1.67772E+14,2.44676E+14,4.24875E+13,1.50349E+14,2.26702E+14,1.79738E+13,8.49611E+12,79526000000,4.46487E+12,4.64233E+12,2.52797E+12,5.66114E+11,7.96884E+11,2020,3.220934367
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,Trung gian tín dụng và các hoạt động liên quan,2020,103.23,6213035,3.28256E+12,2.86319E+14,4.19027E+14,5.65113E+13,2.33428E+14,3.66233E+14,5.27935E+13,3.23458E+13,1.20579E+12,1.1392E+13,1.04138E+13,6.02481E+12,1.82372E+12,2.07566E+12,2020,3.220934367
ACB,Ngân hàng TMCP Á Châu,HoSE,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,6.43781E+12,2.66165E+14,3.83514E+14,1.92486E+13,3.08129E+14,3.55749E+14,2.77654E+13,1.21122E+13,46054000000,8.3076E+12,6.00994E+12,2.35338E+11,3.10859E+11,9.03155E+11,2019,2.795823675
BAB,Ngân hàng TMCP Bắc Á,HNX,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,5.68407E+11,7.22786E+13,1.0789E+14,1.46584E+13,7.61633E+13,1.00075E+14,7.81499E+12,1.96656E+12,7699000000,1.10359E+12,7.49456E+11,2.64743E+11,17576000000,2.17707E+11,2019,2.795823675
BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,1.74412E+11,2.42994E+13,5.98045E+13,1.82344E+13,2.924E+13,5.62444E+13,3.56011E+12,7.17834E+11,1334524931,6.54777E+11,81839513850,1.88736E+11,2.09311E+11,8.93558E+11,2019,2.795823675
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,1.41167E+13,1.10237E+15,1.48996E+15,7.66832E+13,1.11416E+15,1.4123E+15,7.7653E+13,3.59778E+13,1.1567E+12,1.72571E+13,8.54776E+12,3.83516E+12,4.30501E+12,1.13562E+13,2019,2.795823675
CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,8.28273E+12,9.22325E+14,1.24071E+15,1.09483E+14,8.92785E+14,1.16336E+15,7.73548E+13,3.3199E+13,8.59995E+11,1.57349E+13,9.47699E+12,2.06262E+12,1.5467E+12,7.2041E+12,2019,2.795823675
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,2.63028E+12,1.12182E+14,1.67538E+14,8.64318E+12,1.39278E+14,1.51789E+14,1.57493E+13,3.22037E+12,3.62663E+11,2.70075E+12,8.66132E+11,9.73397E+11,1.4479E+11,8.14984E+11,2019,2.795823675
HDB,Ngân hàng TMCP Phát triển TP. HCM,HoSE,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,2.00456E+12,1.447E+14,2.29477E+14,4.97935E+13,1.26019E+14,2.09096E+14,2.03811E+13,9.74656E+12,36602000000,5.08049E+12,4.02033E+12,4.83922E+11,5.83859E+11,9.28884E+11,2019,2.795823675
LPB,Ngân hàng TMCP Bưu điện Liên Việt,HoSE,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,1.21365E+12,1.38802E+14,2.02058E+14,1.75332E+13,1.36847E+14,1.89478E+14,1.25798E+13,6.06088E+12,53124000000,4.03218E+12,1.60028E+12,2.79874E+11,3.24179E+11,1.42628E+12,2019,2.795823675
MBB,Ngân hàng TMCP Quân Đội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,2.34429E+12,2.4713E+14,4.11488E+14,5.03141E+13,2.7271E+14,3.71602E+14,3.98858E+13,1.8E+13,4.29156E+11,9.72371E+12,8.0686E+12,1.38039E+12,8.99344E+11,6.17902E+11,2019,2.795823675
MSB,Ngân hàng TMCP Hàng hải Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2019,102.79,6037348,2.49524E+12,6.27083E+13,1.56978E+14,4.70179E+13,8.08726E+13,1.42114E+14,1.48635E+13,3.0621E+12,1.5122E+11,2.50218E+12,1.04356E+12,1.51287E+11,1.67823E+11,9.81332E+11,2019,2.795823675
